2022-11-21 15:49:45.524;admin;0;id:1985399,isAdmin:true
2022-11-21 15:50:07.803;admin;0;id:54386038,isAdmin:true
2022-11-28 16:28:53.987;ad\;min;id:979956,isAdmin:true
2022-11-28 16:35:30.827;ad\;min;3;id:1,name:Magnus' Among Us themed Birthday Party,name:e;aa
2022-11-28 17:11:14.129;ad\;min;3;id:3,,
2022-11-28 17:11:53.383;ad\;min;2;id:4,name:\;"342:,"3"#:¤\;!:2,location:231-:"_345.#¤&:_=?):0,date:2022-11-18 11:11,price:2
2022-11-29 09:00:17.155;ad\;min;2;id:4,name:AE"ÖEA:\;E:\;Däöd2öÄQ\;DÖA\;:,location:,.E\;:\;:":\;A\;:.ö,Ö,date:111111-11-11 11:01,price:22
2022-11-29 09:31:25.716;ad\;min;3;id:4,name:AE"ÖEA:\;E:\;Däöd2öÄQ\;DÖA\;:,name:\;\;\;\;\;\;\;\;
